Titre du poste,Entreprise,Ville,Secteur,Contrat proposé,Niveau d'étude,Expérience,Compétences Techniques,Langues,Soft Skills,Lien de l'offre
Recrutement d’un Responsable des Opérations (Rabat),Non spécifié,Rabat,Non spécifié,CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/recrutement-dun-responsable-des-operations-rabat/
Juriste Junior,Non spécifié,Non spécifié,Non spécifié,CDI,Bac+5,Non spécifié,Non spécifié,"Français, Anglais","Communication, Organisation, Rigueur",https://www.dreamjob.ma/stage/minthr-recrute-juriste-junior-stage-casablanca/
ADM Value agrandit ses équipes à Rabat: découvrez nos offres en télévente et conseil,Non spécifié,Rabat,"Automobile, Énergie",CDI,Non spécifié,20 ans,Non spécifié,Français,"Autonomie, Communication, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/adm-value-recrute-plusieurs-profils/
Fondation Arrawaj recrute Plusieurs Profils (Tout le Maroc),Fondation Arrawaj,Non spécifié,Non spécifié,CDI,Bac+3,30 ans,Non spécifié,Non specifié,"Autonomie, Communication, Initiative, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/fondation-arrawaj-recrute-plusieurs-profils-tout-le-maroc/
Société de Construction Routière recrute un Responsable Matériel BTP à Salé,Société de Construction Routière,Salé,"Btp, Construction, Logistique",Non spécifié,Bac+5,5 ans,Non spécifié,Non specifié,Organisation,https://www.dreamjob.ma/emploi/societe-de-construction-routiere-recrute-un-responsable-materiel-btp-a-sale/
Université Euromed de Fès recrute 16 nouveaux profils,Université Euromed de Fès,Fès,"Chimie, Recherche scientifique",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,Innovation,https://www.dreamjob.ma/emploi/universite-euromed-de-fes-recrute-16-nouveaux-profils/
Recrutement de Rédacteurs Web Freelance en Télétravail,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Français, Anglais",Flexibilité,https://www.dreamjob.ma/emploi/start-up-recrute-des-redacteurs-web-freelance-en-teletravail/
Bontaz recrute 14 stagiaires PFE à El Jadida,Bontaz,El Jadida,"Automobile, Logistique",Stage,Bac+5,Non spécifié,Non spécifié,"Français, Anglais","Innovation, Rigueur",https://www.dreamjob.ma/stage/bontaz-recrute-14-stagiaires-pfe-a-el-jadida/
Expleo ouvre des postes techniques et stages PFE à Tanger,Expleo,Tanger,Automobile,CDI,Bac+5,40 ans,"ERP, Excel","Français, Anglais","Autonomie, Communication, Organisation, Rigueur",https://www.dreamjob.ma/emploi/expleo-ouvre-des-postes-techniques-et-stages-pfe-a-tanger/
Stages en maintenance industrielle ouvert chez APM Terminals Tanger,Non spécifié,Tanger,Non spécifié,Stage,Non spécifié,Non spécifié,"Excel, Python, SQL",Non specifié,Organisation,https://www.dreamjob.ma/stage/stages-en-maintenance-industrielle-ouvert-chez-apm-terminals-tanger/
Postes ouverts à Rabat et Marrakech chez la Sorec,Non spécifié,Marrakech,"Construction, Logistique, Énergie",CDI,"Bac+3, bac+5",Non spécifié,Autocad,Non specifié,"Communication, Créativité, Gestion de projet, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/postes-ouverts-a-rabat-et-marrakech-chez-la-sorec/
Safran lance sa campagne de recrutement pour stages PFE 2026,Non spécifié,Nouaceur,Aéronautique,Stage,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Rigueur, Travailler en équipe",https://www.dreamjob.ma/stage/safran-lance-sa-campagne-de-recrutement-pour-stages-pfe-2026/
SIDEN recrute 80 profils industriels à Jorf Lasfar et Témara,SIDEN,Jorf Lasfar,"Construction, Procédés",CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Rigueur, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/siden-recrute-80-profils-industriels-a-jorf-lasfar-et-temara/
Plusieurs postes à pourvoir chez DARI COUSPATE,Non spécifié,Salé,"Agroalimentaire, Logistique",CDI,"Bac+2, bac+4",Non spécifié,Non spécifié,Non specifié,Organisation,https://www.dreamjob.ma/emploi/plusieurs-postes-a-pourvoir-chez-dari-couspate/
Concours de Recrutement CHU Ibn Sina 2026 (4 Postes),Non spécifié,Rabat,Recherche scientifique,Non spécifié,Non spécifié,18 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-de-recrutement-chu-ibn-sina-2026-4-postes/
Hirschmann Automotive recrute plusieurs profils à Kénitra,Hirschmann Automotive,Kénitra,"Automobile, Logistique",Stage,"Bac+2, bac+5",60 ans,"5S, AMDEC, APQP, ERP, PPAP, SPC","Français, Anglais","Autonomie, Communication, Innovation, Organisé, Rigueur",https://www.dreamjob.ma/emploi/hirschmann-automotive-recrute-plusieurs-profils-a-kenitra/
Lesaffre renforce son équipe technique et recrute à Fés,Lesaffre renforce son équipe technique et,Fès,Agroalimentaire,Non spécifié,"Bac+2, bac+5",7 ans,"Autocad, GMAO, Lean",Non specifié,"Autonomie, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/lesaffre-renforce-son-equipe-technique-et-recrute-a-fes/
Hydro Advisor lance une campagne urgente de recrutement,Non spécifié,Rabat,Construction,Non spécifié,"Bac+2, bac+3",20 ans,Excel,Français,Non spécifié,https://www.dreamjob.ma/emploi/hydro-advisor-lance-une-campagne-urgente-de-recrutement/
Servier Maroc ouvre de nouveaux postes à Casablanca,Servier Maroc,Casablanca,"Chimie, Pharmaceutique",Non spécifié,"Bac+3, bac+5",3 à 7 ans,"AMDEC, Automatisme, Excel, GMAO",Non specifié,"Autonomie, Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/servier-maroc-ouvre-de-nouveaux-postes-a-casablanca/
International Paper recrute à Tanger et Casablanca,International Paper,Casablanca,Non spécifié,Non spécifié,"Bac+2, bac+5",2 ans,"ERP, Excel, Modélisation, Python, SAP, SQL","Français, Anglais","Communication, Rigueur",https://www.dreamjob.ma/emploi/international-paper-recrute-a-tanger-et-casablanca/
SEBN Bouknadel recrute deux experts automobile,SEBN Bouknadel,Non spécifié,Automobile,Non spécifié,Bac+5,10 ans,"5S, APQP, Lean, Lean manufacturing, PPAP, SPC","Français, Anglais","Leadership, Organisation, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/sebn-bouknadel-recrute-deux-experts-automobile/
Concours de Recrutement ENIM 2025 (9 Maîtres de Conférences),Non spécifié,Rabat,"Procédés, Recherche scientifique",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Français,"Communication, Innovation",https://www.dreamjob.ma/emploi-public/concours-de-recrutement-enim-2025-9-maitres-de-conferences/
"Concours de Recrutement Collectivités Territoriales 2025, des centaines de postes à pourvoir",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-de-recrutement-collectivites-territoriales-2025-des-centaines-de-postes-a-pourvoir/
Offres d’emploi – Proma Industrie secteur automobile,Non spécifié,Kénitra,"Automobile, Chimie, Logistique, Procédés",Non spécifié,"Bac+2, bac+3, bac+5",Non spécifié,"AMDEC, CATIA, Excel, SAP, SPC",Non specifié,"Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/offres-demploi-proma-industrie-secteur-automobile/
Grande campagne Sorec nouveaux talents recherchés,Non spécifié,Marrakech,"Automobile, Construction, Logistique",CDI,"Bac+2, bac+3, bac+4, bac+5",2 à 5 ans,"Autocad, ERP, Excel, Python, SQL",Non specifié,"Communication, Créatif, Créativité, Gestion de projet, Initiative, Leadership, Organisation, Relationnel, Rigueur, Réactivité, Travail en équipe",https://www.dreamjob.ma/emploi/grande-campagne-sorec-nouveaux-talents-recherches/
"Offres d’emploi RATP Dev Casablanca, plusieurs profils recherchés",Non spécifié,Casablanca,Logistique,Non spécifié,"Bac+2, bac+4, bac+5",Non spécifié,ERP,Anglais,"Autonomie, Initiative, Organisation, Rigueur",https://www.dreamjob.ma/emploi/offres-demploi-ratp-dev-casablanca-plusieurs-profils-recherches/
Rotomoulage du Sud recrute à Casablanca des dessinateurs,Rotomoulage du Sud,Casablanca,Procédés,CDI,Bac+2,Non spécifié,"CATIA, Conception mécanique, NX",Non specifié,Rigueur,https://www.dreamjob.ma/emploi/rotomoulage-du-sud-recrute-a-casablanca-des-dessinateurs/
Mint HR recrute un(e) Chargé(e) de Recrutement (CDI) – Casablanca,Mint HR,Casablanca,Non spécifié,CDI,"Bac+3, bac+5",Non spécifié,Non spécifié,Non specifié,"Autonomie, Communication, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/mint-hr-recrute-une-chargee-de-recrutement-cdi-casablanca/
Magasin d’Optique recrute une Vendeuse (Wifak Témara),Magasin d’Optique,Témara,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Autonome, Communication, Organisation, Organisé, Proactivité, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/optique-recrute-une-vendeuse-sur-wifak-temara/
"Solevio recrute des Vendeurs Conventionnels CHR (Cafés, Hôtels, Restaurants) (Casablanca)",Solevio,Casablanca,Agroalimentaire,Non spécifié,Bac+2,3 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/solevio-recrute-vendeurs-conventionnels-chr-casablanca/
Grande campagne de recrutement Calliope: plusieurs postes à saisir partout au Maroc,Non spécifié,Non spécifié,"Automobile, Logistique",Stage,"Bac+2, bac+3, bac+4, bac+5",3 à 5 ans,Excel,"Français, Anglais, Arabe","Autonomie, Communication, Créativité, Gestion de projet, Initiative, Innovation, Leadership, Organisation, Relationnel, Rigueur, Réactivité, Travailler en équipe",https://www.dreamjob.ma/emploi/grande-campagne-de-recrutement-calliope-plusieurs-postes-a-saisir-partout-au-maroc/
Recrutement d’un Responsable des Opérations (Rabat),Non spécifié,Rabat,Non spécifié,CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/recrutement-dun-responsable-des-operations-rabat/
Juriste Junior,Non spécifié,Non spécifié,Non spécifié,CDI,Bac+5,Non spécifié,Non spécifié,"Français, Anglais","Communication, Organisation, Rigueur",https://www.dreamjob.ma/stage/minthr-recrute-juriste-junior-stage-casablanca/
ADM Value agrandit ses équipes à Rabat: découvrez nos offres en télévente et conseil,Non spécifié,Rabat,"Automobile, Énergie",CDI,Non spécifié,20 ans,Non spécifié,Français,"Autonomie, Communication, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/adm-value-recrute-plusieurs-profils/
Fondation Arrawaj recrute Plusieurs Profils (Tout le Maroc),Fondation Arrawaj,Non spécifié,Non spécifié,CDI,Bac+3,30 ans,Non spécifié,Non specifié,"Autonomie, Communication, Initiative, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/fondation-arrawaj-recrute-plusieurs-profils-tout-le-maroc/
Société de Construction Routière recrute un Responsable Matériel BTP à Salé,Société de Construction Routière,Salé,"Btp, Construction, Logistique",Non spécifié,Bac+5,5 ans,Non spécifié,Non specifié,Organisation,https://www.dreamjob.ma/emploi/societe-de-construction-routiere-recrute-un-responsable-materiel-btp-a-sale/
Université Euromed de Fès recrute 16 nouveaux profils,Université Euromed de Fès,Fès,"Chimie, Recherche scientifique",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,Innovation,https://www.dreamjob.ma/emploi/universite-euromed-de-fes-recrute-16-nouveaux-profils/
Recrutement de Rédacteurs Web Freelance en Télétravail,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Français, Anglais",Flexibilité,https://www.dreamjob.ma/emploi/start-up-recrute-des-redacteurs-web-freelance-en-teletravail/
Recrutement Mafoder Group opportunités industrielles,Non spécifié,Non spécifié,"Btp, Construction, Procédés, Énergie",Non spécifié,Non spécifié,15 ans,"ERP, Excel",Non specifié,"Gestion de projet, Innovation, Rigueur",https://www.dreamjob.ma/emploi/recrutement-mafoder-group-opportunites-industrielles/
CAT Engineering recrute à Kénitra – plusieurs postes à saisir,CAT Engineering,Kénitra,"Automobile, Procédés",Non spécifié,"Bac+2, bac+5",Non spécifié,Non spécifié,Non specifié,"Autonomie, Communication, Organisation, Rigueur, Réactivité, Résolution de problèmes",https://www.dreamjob.ma/emploi/cat-engineering-recrute-a-kenitra-plusieurs-postes-a-saisir/
Concours de Recrutement Ministère de l’Equipement et de l’Eau 2025 (12 Maîtres de conférences),Non spécifié,Non spécifié,"Chimie, Construction, Logistique, Procédés, Recherche scientifique",Non spécifié,Non spécifié,Non spécifié,Modélisation,Non specifié,"Initiative, Innovation",https://www.dreamjob.ma/emploi-public/concours-de-recrutement-ministere-de-lequipement-et-de-leau-2025-12-maitres-de-conferences/
"Opportunités d’emploi à Casablanca, Intersig renforce ses équipes",Non spécifié,Casablanca,"Construction, Procédés",Non spécifié,Bac+2,5 ans,GMAO,Non specifié,"Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/opportunites-demploi-a-casablanca-intersig-renforce-ses-equipes/
Concours de Recrutement ENIM 2025 (4 Postes),Non spécifié,Rabat,"Procédés, Recherche scientifique",Non spécifié,Non spécifié,18 à 45 ans,Non spécifié,Non specifié,Innovation,https://www.dreamjob.ma/emploi-public/concours-de-recrutement-enim-2025-4-postes/
"Safran Maroc recrute: plus de 40 postes ouverts à Casablanca, Tiflet et Témara",Safran Maroc,Casablanca,"Aéronautique, Logistique, Procédés",CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,Innovation,https://www.dreamjob.ma/emploi/safran-maroc-recrute-plus-de-40-postes-ouverts-a-casablanca-tiflet-et-temara/
"Grande campagne STELLANTIS, plusieurs postes pour jeunes diplômés Bac+2",Non spécifié,Non spécifié,Automobile,Non spécifié,Bac+2,Non spécifié,Non spécifié,Non specifié,"Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/grande-campagne-stellantis-plusieurs-postes-pour-jeunes-diplomes-bac2/
HTL Fitting Morocco recrute en urgence des stagiaires Bac+5,HTL Fitting Morocco,Non spécifié,Automobile,Stage,Bac+5,Non spécifié,Non spécifié,Non specifié,"Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/h-t-l-fitting-morocco-recrute-en-urgence-des-stagiaires-bac5/
"Campagne PFE 2026 Safran Morocco, envoyez votre CV aujourd’hui",Non spécifié,Non spécifié,"Aéronautique, Logistique, Procédés",Stage,Non spécifié,Non spécifié,"AMDEC, Excel, Lean, Python, VBA",Anglais,"Communication, Innovation, Rigueur",https://www.dreamjob.ma/stage/campagne-pfe-2026-safran-morocco-envoyez-votre-cv-aujourdhui/
"Offre d’emploi Pharma 5, techniciens maintenance utilités recherchés",Non spécifié,Casablanca,Pharmaceutique,Non spécifié,"Bac+2, bac+3",3 ans,Non spécifié,Non specifié,"Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/offre-demploi-pharma-5-techniciens-maintenance-utilites-recherches/
"Offres d’emploi Barea 2025, postes de Superviseurs télécoms à pourvoir",Non spécifié,Non spécifié,"Automobile, Aéronautique",Non spécifié,Bac+2,3 ans,Non spécifié,Non specifié,"Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/offres-demploi-barea-2025-postes-de-superviseurs-telecoms-a-pourvoir/
Offres d’emploi SICDA Berrechid – Postulez dès maintenant !,Non spécifié,Berrechid,Chimie,Non spécifié,"Bac+2, bac+3, bac+5",2 à 4 ans,GMAO,Non specifié,Innovation,https://www.dreamjob.ma/emploi/offres-demploi-sicda-berrechid-postulez-des-maintenant/
Recrutement SNTRO – Soudeurs/Chaudronniers recherchés,Non spécifié,Non spécifié,Procédés,Stage,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Autonomie, Innovation, Rigueur",https://www.dreamjob.ma/emploi/recrutement-sntro-soudeurs-chaudronniers-recherches-au-maroc/
"Smeia ouvre plusieurs postes à Casablanca, Marrakech, Rabat et plus !",Smeia,Casablanca,Automobile,Non spécifié,"Bac+3, bac+5",5 ans,ERP,Non specifié,"Gestion de projet, Innovation, Relationnel",https://www.dreamjob.ma/emploi/smeia-ouvre-plusieurs-postes-a-casablanca-marrakech-rabat-et-plus/
Recrutement BTP Maroc 2025 – Eurohinca lance une grande campagne d’embauche,Non spécifié,Casablanca,"Btp, Construction, Logistique",Non spécifié,"Bac+3, bac+4, bac+5",5 ans,Non spécifié,"Français, Anglais","Autonomie, Leadership, Rigueur",https://www.dreamjob.ma/emploi/recrutement-btp-maroc-2025-eurohinca-lance-une-grande-campagne-dembauche/
SEBN recrute – nouvelles opportunités dans l’automobile à Bouknadel,SEBN,Non spécifié,"Automobile, Procédés",CDI,Bac+5,5 ans,ERP,"Français, Anglais","Communication, Innovation, Leadership, Rigueur",https://www.dreamjob.ma/emploi/sebn-recrute-nouvelles-opportunites-dans-lautomobile-a-bouknadel/
(7) Postes industriels ouverts chez Snop Maroc,Non spécifié,Tanger,Automobile,Stage,"Bac+2, bac+5",2 ans,"AMDEC, Automatisme, Excel, GMAO, SAP",Anglais,"Organisation, Résolution de problèmes",https://www.dreamjob.ma/emploi/7-postes-industriels-ouverts-chez-snop-maroc/
"Safran investit 3,4 milliards de dirhams à Nouaceur et crée 600 emplois",Non spécifié,Nouaceur,"Aéronautique, Construction, Logistique, Énergie",Non spécifié,Non spécifié,25 ans,Non spécifié,Français,Non spécifié,https://www.dreamjob.ma/news/safran-investit-34-milliards-de-dirhams-a-nouaceur-et-cree-600-emplois/
Fujikura Automotive recrute 4 nouveaux profils à Kénitra – Opportunités à saisir dès maintenant,Fujikura Automotive,Kénitra,"Automobile, Procédés",Non spécifié,"Bac+2, bac+5",3 ans,Non spécifié,"Français, Anglais",Non spécifié,https://www.dreamjob.ma/emploi/fujikura-automotive-recrute-4-nouveaux-profils-a-kenitra-opportunites-a-saisir-des-maintenant/
Carrières industrielles: opportunités à saisir chez COFAT Maroc à Kénitra,Non spécifié,Kénitra,Automobile,CDI,Bac+3,1 à 2 ans,Non spécifié,Non specifié,"Innovation, Leadership, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/carrieres-industrielles-opportunites-a-saisir-chez-cofat-maroc-a-kenitra/
Mint HR recrute un(e) Chargé(e) de Recrutement (CDI) – Casablanca,Mint HR,Casablanca,Non spécifié,CDI,"Bac+3, bac+5",Non spécifié,Non spécifié,Non specifié,"Autonomie, Communication, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/mint-hr-recrute-une-chargee-de-recrutement-cdi-casablanca/
Magasin d’Optique recrute une Vendeuse (Wifak Témara),Magasin d’Optique,Témara,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Autonome, Communication, Organisation, Organisé, Proactivité, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/optique-recrute-une-vendeuse-sur-wifak-temara/
"Solevio recrute des Vendeurs Conventionnels CHR (Cafés, Hôtels, Restaurants) (Casablanca)",Solevio,Casablanca,Agroalimentaire,Non spécifié,Bac+2,3 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/solevio-recrute-vendeurs-conventionnels-chr-casablanca/
Grande campagne de recrutement Calliope: plusieurs postes à saisir partout au Maroc,Non spécifié,Non spécifié,"Automobile, Logistique",Stage,"Bac+2, bac+3, bac+4, bac+5",3 à 5 ans,Excel,"Français, Anglais, Arabe","Autonomie, Communication, Créativité, Gestion de projet, Initiative, Innovation, Leadership, Organisation, Relationnel, Rigueur, Réactivité, Travailler en équipe",https://www.dreamjob.ma/emploi/grande-campagne-de-recrutement-calliope-plusieurs-postes-a-saisir-partout-au-maroc/
Recrutement d’un Responsable des Opérations (Rabat),Non spécifié,Rabat,Non spécifié,CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/recrutement-dun-responsable-des-operations-rabat/
Juriste Junior,Non spécifié,Non spécifié,Non spécifié,CDI,Bac+5,Non spécifié,Non spécifié,"Français, Anglais","Communication, Organisation, Rigueur",https://www.dreamjob.ma/stage/minthr-recrute-juriste-junior-stage-casablanca/
ADM Value agrandit ses équipes à Rabat: découvrez nos offres en télévente et conseil,Non spécifié,Rabat,"Automobile, Énergie",CDI,Non spécifié,20 ans,Non spécifié,Français,"Autonomie, Communication, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/adm-value-recrute-plusieurs-profils/
Fondation Arrawaj recrute Plusieurs Profils (Tout le Maroc),Fondation Arrawaj,Non spécifié,Non spécifié,CDI,Bac+3,30 ans,Non spécifié,Non specifié,"Autonomie, Communication, Initiative, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/fondation-arrawaj-recrute-plusieurs-profils-tout-le-maroc/
Société de Construction Routière recrute un Responsable Matériel BTP à Salé,Société de Construction Routière,Salé,"Btp, Construction, Logistique",Non spécifié,Bac+5,5 ans,Non spécifié,Non specifié,Organisation,https://www.dreamjob.ma/emploi/societe-de-construction-routiere-recrute-un-responsable-materiel-btp-a-sale/
Université Euromed de Fès recrute 16 nouveaux profils,Université Euromed de Fès,Fès,"Chimie, Recherche scientifique",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,Innovation,https://www.dreamjob.ma/emploi/universite-euromed-de-fes-recrute-16-nouveaux-profils/
Recrutement de Rédacteurs Web Freelance en Télétravail,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Français, Anglais",Flexibilité,https://www.dreamjob.ma/emploi/start-up-recrute-des-redacteurs-web-freelance-en-teletravail/
ANAPEC lance (60) offres d’emploi en France,Non spécifié,Non spécifié,Non spécifié,CDI,Non spécifié,2 ans,"GMAO, SAP",Français,"Autonomie, Rigueur",https://www.dreamjob.ma/emploi-international/anapec-lance-60-offres-demploi-en-france/
G3C lance sa campagne de stages 2025 – opportunités pour étudiants et jeunes diplômés,Non spécifié,Non spécifié,Non spécifié,Stage,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Communication, Innovation, Organisation",https://www.dreamjob.ma/stage/g3c-lance-sa-campagne-de-stages-2025-opportunites-pour-etudiants-et-jeunes-diplomes/
Sentury Tire Morocco recrute 16 techniciens et électriciens à Tanger,Sentury Tire Morocco,Tanger,Procédés,Stage,Bac+2,Non spécifié,Non spécifié,Non specifié,"Innovation, Polyvalence, Rigueur",https://www.dreamjob.ma/emploi/sentury-tire-morocco-recrute-16-techniciens-et-electriciens-a-tanger/
Postes de Techniciens Maintenance ouverts chez Aptiv Kénitra,Non spécifié,Kénitra,Automobile,CDI,Bac+2,Non spécifié,Automatisme,Non specifié,"Organisation, Résolution de problèmes",https://www.dreamjob.ma/emploi/postes-de-techniciens-maintenance-ouverts-chez-aptiv-kenitra/
Floquet Monopole recrute 2 Superviseurs de Production à Fès – Opportunité à saisir dès maintenant,Floquet Monopole,Fès,Automobile,Non spécifié,"Bac+3, bac+5",3 ans,"Lean, Lean manufacturing",Non specifié,"Leadership, Organisation, Résolution de problèmes",https://www.dreamjob.ma/emploi/floquet-monopole-recrute-2-superviseurs-de-production-a-fes-opportunite-a-saisir-des-maintenant/
Concours de Recrutement Collectivités Territoriales 2025 (25 Postes),Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-de-recrutement-collectivites-territoriales-2025-25-postes/
"P PRIME recrute dès maintenant: 8 postes ouverts à Agadir, Larache et Tanger",P PRIME,Larache,Logistique,CDI,"Bac+3, bac+5",1 à 3 ans,"Autocad, ERP, Excel, Ms project, SAP","Français, Anglais","Autonomie, Communication, Leadership, Rigueur",https://www.dreamjob.ma/emploi/p-prime-recrute-des-maintenant-8-postes-ouverts-a-agadir-larache-et-tanger/
Concours de Recrutement LPEE 2025 (46 Postes),Non spécifié,Non spécifié,"Automobile, Btp, Chimie, Procédés",Non spécifié,"Bac+2, bac+3",60 ans,Automatisme,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-de-recrutement-lpee-2025-46-postes/
Concours de Recrutement ONEE Branche Eau 2025 (11 Postes),Non spécifié,Non spécifié,Énergie,Non spécifié,Non spécifié,Non spécifié,Automatisme,Non specifié,Innovation,https://www.dreamjob.ma/emploi-public/concours-de-recrutement-onee-branche-eau-2025-11-postes/
"Opportunités d’emploi chez Ciments de l’Atlas: RH, achats et plus",Non spécifié,Non spécifié,"Btp, Logistique",Non spécifié,"Bac+2, bac+5",3 à 5 ans,Excel,"Français, Anglais","Innovation, Réactivité",https://www.dreamjob.ma/emploi/opportunites-demploi-chez-ciments-de-latlas-rh-achats-et-plus/
Proma Industrie Kénitra recrute: plusieurs postes ouverts dans l’automobile,Proma Industrie Kénitra,Kénitra,Automobile,Stage,"Bac+2, bac+3, bac+5",2 ans,"Automatisme, Robotique, SAP",Non specifié,"Communication, Organisation, Rigueur",https://www.dreamjob.ma/emploi/proma-industrie-kenitra-recrute-plusieurs-postes-ouverts-dans-lautomobile/
VOLTAMOTORS MAROC recrute des Techniciens Maintenance à Casablanca et Rabat,VOLTAMOTORS MAROC,Casablanca,Non spécifié,Non spécifié,Non spécifié,Non spécifié,GMAO,Non specifié,"Autonomie, Innovation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/voltamotors-maroc-recrute-des-techniciens-maintenance-a-casablanca-et-rabat/
SCIF recrute en CDI: postes d’Acheteurs Projets ouverts,SCIF,Non spécifié,"Ferroviaire, Logistique",CDI,Non spécifié,1 an,ERP,Anglais,"Communication, Organisation",https://www.dreamjob.ma/emploi/scif-recrute-en-cdi-postes-dacheteurs-projets-ouverts/
Airbus Atlantic Maroc recrute à Casablanca: 2 postes à saisir dès maintenant,Airbus Atlantic Maroc,Casablanca,"Automobile, Aéronautique, Logistique, Procédés",Non spécifié,Bac+2,3 ans,"Excel, SAP, VBA","Français, Anglais",Rigueur,https://www.dreamjob.ma/emploi/airbus-atlantic-maroc-recrute-a-casablanca-2-postes-a-saisir-des-maintenant/
Campagne de recrutement 2025: BTP CONSULTING recrute en masse dans le BTP,Campagne de recrutement 2025: BTP CONSULTING,Tétouan,Btp,CDI,Non spécifié,5 ans,Non spécifié,Non specifié,Innovation,https://www.dreamjob.ma/emploi/campagne-de-recrutement-2025-btp-consulting-recrute-en-masse-dans-le-btp/
Lear Morocco recrute: 4 postes stratégiques à pourvoir à Tanger et Meknès,Lear Morocco,Tanger,"Automobile, Logistique, Plasturgie",Anapec,"Bac+2, bac+5",4 ans,5S,"Français, Anglais",Communication,https://www.dreamjob.ma/emploi/lear-morocco-recrute-4-postes-strategiques-a-pourvoir-a-tanger-et-meknes/
Carrière dans l’industrie automobile: Adient embauche au Maroc,Non spécifié,Non spécifié,"Automobile, Procédés",Non spécifié,Bac+5,7 ans,"5S, Kaizen, Lean, Six sigma",Non specifié,"Communication, Innovation, Leadership",https://www.dreamjob.ma/emploi/carriere-dans-lindustrie-automobile-adient-embauche-au-maroc/
Résultats du Concours de Recrutement SRM Oriental 2025 (103 Postes),Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Bac+2, bac+5",Non spécifié,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi-public/resultats-du-concours-de-recrutement-srm-oriental-2025-103-postes/
"Travailler à l’Étranger pour les Marocains: Opportunités, Défis et Conseils",Non spécifié,Non spécifié,Non spécifié,Stage,Non spécifié,Non spécifié,Non spécifié,Anglais,Non spécifié,https://www.dreamjob.ma/guides/travailler-a-letranger/
