Titre du poste,Entreprise,Ville,Secteur d'activité,Contrat proposé,Niveau d'étude,Expérience,Compétences techniques,Langues,Soft skills,Lien de l'offre
Bosch lance un recrutement en stage et en CDD,Non spécifié,Casablanca,Non spécifié,CDD,Bac+2,Non spécifié,"Excel, GMAO, Python, SAP, SQL","Français, Anglais","Communication, Organisation, Organisé, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/bosch-lance-un-recrutement-en-stage-et-en-cdd/
Bel propose de nouveaux postes à Casablanca et Tanger,Non spécifié,Casablanca,Agroalimentaire,Non spécifié,Bac+5,4 à 5 ans,"5S, Automatisme, Robotique, SAP",Non specifié,"Autonomie, Communication, Innovation, Leadership, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/bel-propose-de-nouveaux-postes-a-casablanca-et-tanger/
Gestamp ouvre 7 opportunités dans l’automobile,Gestamp,Kénitra,Automobile,CDI,Non spécifié,Non spécifié,SAP,Anglais,"Communication, Force de proposition, Innovation, Leadership, Organisation, Organisé, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/gestamp-ouvre-7-opportunites-dans-lautomobile/
Nouvelles opportunités disponibles chez Marjane Group à Casablanca,Non spécifié,Casablanca,Non spécifié,Non spécifié,Bac+5,4 ans,ERP,Non specifié,"Organisation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/nouvelles-opportunites-disponibles-chez-marjane-group-a-casablanca/
SEBN Maroc recrute à Tanger et Bouknadel 7 profils,SEBN Maroc,Tanger,Automobile,Non spécifié,Bac+2,2 ans,"Autocad, CATIA, Kaizen, Lean, SAP, Six sigma, VBA",Non specifié,"Autonomie, Leadership, Organisation, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/sebn-maroc-recrute-a-tanger-et-bouknadel-7-profils/
Techniciens électriques recherchés chez Aeolon à Nador,Non spécifié,Nador,Non spécifié,CDI,Bac+2,4 ans,Automatisme,Non specifié,"Autonomie, Innovation, Rigueur",https://www.dreamjob.ma/emploi/techniciens-electriques-recherches-chez-aeolon-a-nador/
Digital Virgo recrute 4 profils à Casablanca,Digital Virgo,Casablanca,Énergie,Stage,Bac+3,7 à 10 ans,Non spécifié,"Français, Anglais, Arabe","Autonomie, Communication, Force de proposition, Gestion de projet, Initiative, Innovation, Organisation, Organisé, Réactivité",https://www.dreamjob.ma/emploi/digital-virgo-recrute-4-profils-a-casablanca/
Groupe Managem recrute dans le support informatique et les achats,Groupe Managem,Casablanca,Minier,Non spécifié,Non spécifié,3 ans,Non spécifié,Non specifié,"Autonome, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/groupe-managem-recrute-dans-le-support-informatique-et-les-achats/
Deux opportunités à saisir chez RATP Dev Casablanca,Non spécifié,Casablanca,"Ferroviaire, Énergie",Non spécifié,Bac+2,Non spécifié,GMAO,"Français, Anglais","Communication, Leadership, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/deux-opportunites-a-saisir-chez-ratp-dev-casablanca/
Renault Tanger propose des stages à saisir,Non spécifié,Tanger,Automobile,Stage,Bac+3,Non spécifié,Non spécifié,Non specifié,"Autonome, Initiative",https://www.dreamjob.ma/stage/renault-tanger-propose-des-stages-a-saisir/
Postulez chez Airbus pour deux opportunités en aéronautique,Non spécifié,Casablanca,"Aéronautique, Logistique",Intérim,Bac+4,2 ans,"APQP, Excel, SAP","Français, Anglais","Communication, Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/postulez-chez-airbus-pour-deux-opportunites-en-aeronautique/
Aeolon Technology cherche 3 profils à Nador,Aeolon Technology,Nador,Procédés,CDI,Bac+3,4 ans,"5S, Kaizen, Lean",Anglais,"Autonome, Communication, Innovation, Rigueur",https://www.dreamjob.ma/emploi/aeolon-technology-cherche-3-profils-a-nador/
Techniciens de maintenance recherchés chez GASTROMIXTE,Non spécifié,Kénitra,Agroalimentaire,CDI,Bac+2,Non spécifié,Non spécifié,Non specifié,"Autonomie, Initiative, Organisation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/techniciens-de-maintenance-recherches-chez-gastromixte/
Nouvelles opportunités chez Bel dès maintenant,Non spécifié,Casablanca,Agroalimentaire,Non spécifié,Bac+5,5 ans,"Automatisme, Robotique",Non specifié,"Autonomie, Innovation, Rigueur",https://www.dreamjob.ma/emploi/nouvelles-opportunites-chez-bel-des-maintenant/
Postes à saisir chez G3C à Casablanca,Non spécifié,Casablanca,"Btp, Construction, Logistique",CDI,Non spécifié,5 ans,Non spécifié,Non specifié,"Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/postes-a-saisir-chez-g3c-a-casablanca/
"Bosch recrute en data, finance et commerce",Bosch,Casablanca,Non spécifié,Stage,Non spécifié,1 ans,"ERP, Excel, Python, SAP, SQL","Français, Anglais, Arabe","Autonomie, Communication, Innovation, Organisation, Proactivité, Rigueur",https://www.dreamjob.ma/emploi/bosch-recrute-en-data-finance-et-commerce/
La Centrale Automobile Chérifienne propose 10 postes à saisir,Non spécifié,Dar bouazza,Automobile,CDI,Bac+4,9 ans,"ERP, Excel, Modélisation, Python, SQL","Français, Anglais, Arabe","Autonomie, Communication, Force de proposition, Gestion de projet, Leadership, Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/la-centrale-automobile-cherifienne-propose-10-postes-a-saisir/
Opportunités de carrière chez Airbus Atlantic Maroc,Non spécifié,Casablanca,"Automobile, Aéronautique, Logistique",Non spécifié,Bac+5,2 ans,"APQP, Excel, SAP","Français, Anglais","Communication, Innovation, Organisation",https://www.dreamjob.ma/emploi/opportunites-de-carriere-chez-airbus-atlantic-maroc/
"Safran lance un recrutement en maintenance, comptabilité et IT",Non spécifié,Casablanca,Aéronautique,CDI,Bac+5,10 ans,"ERP, Excel, SAP",Anglais,"Initiative, Innovation, Leadership, Proactivité, Relationnel, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/safran-lance-un-recrutement-en-maintenance-comptabilite-et-it/
TE Connectivity recrute 6 profils à Tanger,TE Connectivity,Tanger,"Logistique, Procédés, Énergie",Non spécifié,Bac+2,2 ans,"Automatisme, CATIA, Creo, ERP, Excel, Lean, Lean manufacturing, SAP, SOLIDWORKS, Six sigma","Français, Anglais",Travail en équipe,https://www.dreamjob.ma/emploi/te-connectivity-recrute-6-profils-a-tanger/
6 Opportunités de carrière ouvertes chez TotalEnergies,Non spécifié,Tanger,Énergie,CDI,Bac+2,3 ans,"Automatisme, Excel",Français,"Communication, Innovation, Organisation, Polyvalence",https://www.dreamjob.ma/emploi/6-opportunites-de-carriere-ouvertes-chez-totalenergies/
3 opportunités d’emploi disponibles chez SCIF à Casablanca,Non spécifié,Casablanca,"Construction, Ferroviaire",CDI,Bac+2,4 ans,"Autocad, ERP, SOLIDWORKS",Anglais,"Relationnel, Rigueur",https://www.dreamjob.ma/emploi/3-opportunites-demploi-disponibles-chez-scif-a-casablanca/
Plusieurs responsables recherchés chez VINCI Energies au Maroc,Non spécifié,Non spécifié,Logistique,Non spécifié,Bac+4,2 à 3 ans,"GMAO, Python",Non specifié,"Autonomie, Innovation, Organisation, Relationnel",https://www.dreamjob.ma/emploi/plusieurs-responsables-recherches-chez-vinci-energies-au-maroc/
Opportunités à saisir chez Structural Aerospace Morocco,Non spécifié,Nouaceur,"Aéronautique, Logistique",Intérim,Non spécifié,0 à 2 ans,Non spécifié,Anglais,"Autonomie, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/opportunites-a-saisir-chez-structural-aerospace-morocco/
7 Opportunités disponibles chez Air Arabia à Casablanca et Tanger,Non spécifié,Casablanca,Aéronautique,Non spécifié,Bac+2,2 ans,Non spécifié,"Français, Anglais, Arabe","Communication, Résolution de problèmes",https://www.dreamjob.ma/emploi/7-opportunites-disponibles-chez-air-arabia-a-casablanca-et-tanger/
Postes à saisir chez Aiguebelle dans l’industrie,Non spécifié,Casablanca,"Logistique, Procédés",CDI,Bac+2,2 à 5 ans,Non spécifié,"Français, Anglais","Communication, Gestion de projet, Leadership, Organisation, Travail en équipe",https://www.dreamjob.ma/emploi/postes-a-saisir-chez-aiguebelle-dans-lindustrie/
INGELEC recrute 9 profils à Casablanca,INGELEC,Casablanca,"Logistique, Plasturgie",CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Communication, Organisation, Organisé, Relationnel, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/ingelec-recrute-9-profils-a-casablanca/
SEBN Maroc recrute plusieurs profils industriels dès maintenant,SEBN Maroc,Salé,"Automobile, Logistique",Non spécifié,Bac+2,7 ans,Non spécifié,Non specifié,"Leadership, Rigueur",https://www.dreamjob.ma/emploi/sebn-maroc-recrute-plusieurs-profils-industriels-des-maintenant/
"Recrutement APM Terminals, profils qualifiés recherchés",Non spécifié,Tanger,Logistique,Non spécifié,Non spécifié,5 ans,"Automatisme, Lean",Anglais,"Communication, Leadership",https://www.dreamjob.ma/emploi/recrutement-apm-terminals-profils-qualifies-recherches/
Atlas Defense ouvre plusieurs postes à Benslimane,Atlas Defense,Non spécifié,"Aéronautique, Logistique",CDI,Non spécifié,5 ans,"ERP, Excel","Français, Anglais",Leadership,https://www.dreamjob.ma/emploi/atlas-defense-ouvre-plusieurs-postes-a-benslimane/
5 postes ouverts chez Mafoder Group dès maintenant,Non spécifié,Casablanca,Btp,Non spécifié,Bac+5,Non spécifié,Automatisme,Non specifié,"Organisation, Rigueur",https://www.dreamjob.ma/emploi/5-postes-ouverts-chez-mafoder-group-des-maintenant/
6 postes ouverts chez Valeo à tanger,Non spécifié,Tanger,Automobile,CDI,Bac+2,2 ans,"5S, Lean, SAP",Anglais,"Autonome, Communication, Organisation, Rigueur",https://www.dreamjob.ma/a-la-une/6-postes-ouverts-chez-valeo-a-tanger/
5 opportunités de carrière chez Aiguebelle à pourvoir,Non spécifié,Non spécifié,"Agroalimentaire, Procédés",CDI,Bac+3,Non spécifié,Excel,Non specifié,"Leadership, Organisation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/5-opportunites-de-carriere-chez-aiguebelle-a-pourvoir/
De nombreuses opportunités chez Mafoder Group à saisir,Non spécifié,Casablanca,Btp,CDI,Bac+2,9 ans,"ERP, SQL","Français, Arabe","Autonome, Autonomie, Force de proposition, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/de-nombreuses-opportunites-chez-mafoder-group-a-saisir/
"Nouvelle opportunité à Tanger, 5 postes à saisir chez Aptiv",Non spécifié,Tanger,"Automobile, Logistique",CDI,Bac+5,3 à 5 ans,"AMDEC, CAO, Excel, SAP","Français, Anglais","Communication, Gestion de projet",https://www.dreamjob.ma/emploi/nouvelle-opportunite-a-tanger-5-postes-a-saisir-chez-aptiv/
SCIF ouvre des postes de techniciens spécialisés à Ain Sebaa,SCIF,Casablanca,"Construction, Procédés",CDI,Non spécifié,2 ans,ERP,Non specifié,"Organisation, Rigueur",https://www.dreamjob.ma/emploi/scif-ouvre-des-postes-de-techniciens-specialises-a-ain-sebaa/
TE Connectivity recherche 5 nouveaux profils à tanger,Non spécifié,Tanger,"Automobile, Logistique, Plasturgie, Énergie",CDI,Bac+2,2 ans,"5S, ERP, SAP",Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/te-connectivity-recherche-5-nouveaux-profils-a-tanger/
Casa Transport ouvre 5 postes stratégiques,Casa Transport,Non spécifié,Logistique,CDD,Bac+5,2 à 3 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/casa-transport-ouvre-5-postes-strategiques/
COFICAB ouvre plusieurs postes à Kénitra dès maintenant,COFICAB,Kénitra,Automobile,CDI,Bac+2,1 à 3 ans,SPC,Anglais,Communication,https://www.dreamjob.ma/emploi/coficab-ouvre-plusieurs-postes-a-kenitra-des-maintenant/
TotalEnergies ouvre son programme de recrutement jeunes diplômés,TotalEnergies,Casablanca,"Construction, Énergie",Non spécifié,Bac+5,Non spécifié,Non spécifié,Non specifié,Communication,https://www.dreamjob.ma/emploi/totalenergies-ouvre-son-programme-de-recrutement-jeunes-diplomes/
Nouvelles Opportunités à saisir chez Fujikura à Kénitra,Non spécifié,Kénitra,Automobile,CDI,Bac+2,2 à 5 ans,Non spécifié,Anglais,"Communication, Gestion de projet, Leadership, Rigueur, Réactivité, Résolution de problèmes",https://www.dreamjob.ma/emploi/nouvelles-opportunites-a-saisir-chez-fujikura-a-kenitra/
2 postes à pourvoir chez Ciments du Maroc à Marrakech,Non spécifié,Marrakech,Construction,CDI,Bac+5,3 à 4 ans,"GMAO, Ms project, SAP","Français, Anglais","Autonomie, Organisation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/2-postes-a-pourvoir-chez-ciments-du-maroc-a-marrakech/
EM ÉNERGIE lance une campagne de recrutement multi profils,Non spécifié,Casablanca,Énergie,Non spécifié,Bac+2,5 ans,Autocad,Non specifié,"Autonomie, Organisation, Rigueur",https://www.dreamjob.ma/emploi/em-energie-lance-une-campagne-de-recrutement-multi-profils/
Postes ouverts en maintenance et systèmes d’information chez Mafoder,Non spécifié,Casablanca,Btp,CDI,Non spécifié,2 ans,ERP,Non specifié,"Autonomie, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/postes-ouverts-en-maintenance-et-systemes-dinformation-chez-mafoder/
"Bosch Africa ouvre des postes RH, finance et techniques",Bosch Africa,Casablanca,Non spécifié,CDI,Non spécifié,1 à 3 ans,"ERP, SAP","Français, Anglais","Innovation, Organisation",https://www.dreamjob.ma/emploi/bosch-africa-ouvre-des-postes-rh-finance-et-techniques/
Super Auto Group recrute 4 profils clés dans l’automobile,Super Auto Group,Rabat,Automobile,Non spécifié,Bac+2,2 ans,Non spécifié,"Français, Anglais","Communication, Leadership, Organisation, Relationnel",https://www.dreamjob.ma/emploi/super-auto-group-recrute-4-profils-cles-dans-lautomobile/
6 Postes à saisir chez TE Connectivity à Tanger,Non spécifié,Tanger,"Automobile, Procédés, Énergie",Non spécifié,Non spécifié,5 à 6 ans,"Lean, Lean manufacturing","Français, Anglais","Autonomie, Innovation, Leadership, Rigueur",https://www.dreamjob.ma/emploi/6-postes-a-saisir-chez-te-connectivity-a-tanger/
INGELEC ouvre 5 nouvelles opportunités à Casablanca,INGELEC,Casablanca,Logistique,CDI,Bac+2,2 à 5 ans,ERP,Non specifié,"Innovation, Organisation",https://www.dreamjob.ma/emploi/ingelec-ouvre-plusieurs-opportunites-a-casablanca/
6 Postes à saisir chez PROMAN à El Jadida et Youssoufia,Non spécifié,Youssoufia,"Btp, Logistique",Intérim,Non spécifié,2 ans,Non spécifié,Anglais,"Autonomie, Organisation, Rigueur, Réactivité, Travailler en équipe",https://www.dreamjob.ma/emploi/6-postes-a-saisir-chez-proman-a-el-jadida-et-youssoufia/
DARI COUSPATE ouvre plusieurs opportunités en CDI,DARI COUSPATE,Salé,Agroalimentaire,CDI,Non spécifié,4 ans,Non spécifié,Non specifié,"Autonomie, Communication, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/dari-couspate-ouvre-plusieurs-opportunites-en-cdi/
"Postes industriels à saisir, SOMADIR recrute dès maintenant","Postes industriels à saisir, SOMADIR",Casablanca,Agroalimentaire,CDI,Bac+3,10 ans,Non spécifié,Non specifié,"Leadership, Organisation, Rigueur, Réactivité, Travailler en équipe",https://www.dreamjob.ma/emploi/postes-industriels-a-saisir-somadir-recrute-des-maintenant/
Recrutement chez SAMSIC Maroc en maintenance multitechnique,Non spécifié,Casablanca,Non spécifié,CDI,Bac+2,Non spécifié,GMAO,Non specifié,"Autonomie, Polyvalence, Relationnel, Rigueur, Réactivité, Résolution de problèmes",https://www.dreamjob.ma/emploi/recrutement-chez-samsic-maroc-en-maintenance-multitechnique/
"Recrutement SEBN Bouknadel, responsables et team leaders recherchés",Non spécifié,Non spécifié,Automobile,CDI,Bac+5,5 ans,"Kaizen, Lean, Six sigma",Non specifié,"Communication, Leadership, Organisation, Organisé",https://www.dreamjob.ma/emploi/recrutement-sebn-bouknadel-responsables-et-team-leaders-recherches/
SAM Aviagroup recrute à Nouaceur 5 postes en CDI,SAM Aviagroup,Casablanca,"Aéronautique, Logistique, Procédés",CDI,Bac+5,4 ans,"ERP, Excel",Anglais,"Autonomie, Communication, Leadership, Organisation, Proactivité, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/sam-aviagroup-recrute-a-nouaceur-5-postes-en-cdi/
Postes à saisir chez Erum Group pour outilleurs moulistes,Non spécifié,Tanger,Plasturgie,Stage,Bac+2,Non spécifié,Non spécifié,Non specifié,"Innovation, Rigueur",https://www.dreamjob.ma/emploi/postes-a-saisir-chez-erum-group-pour-outilleurs-moulistes/
Maghreb Steel recrute plusieurs profils industriels à Casablanca,Maghreb Steel,Casablanca,Non spécifié,Non spécifié,Bac+2,3 ans,"AMDEC, Ms project",Non specifié,"Autonomie, Communication, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/maghreb-steel-recrute-plusieurs-profils-industriels-a-casablanca/
Maghreb Industries lance un recrutement de profils expérimentés,Non spécifié,Casablanca,Chimie,CDI,Non spécifié,10 ans,Non spécifié,Non specifié,"Communication, Créativité, Innovation, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/maghreb-industries-lance-un-recrutement-de-profils-experimentes/
5 Offres d’emploi chez Samsic Casablanca et Rabat à saisir,Non spécifié,Casablanca,Non spécifié,CDI,Bac+2,2 ans,GMAO,"Français, Anglais","Autonomie, Communication, Innovation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/5-offres-demploi-chez-samsic-casablanca-et-rabat-a-saisir/
Opportunités industrielles chez Sanipak à Berrechid,Non spécifié,Berrechid,Chimie,Stage,Bac+2,5 ans,Non spécifié,Non specifié,"Communication, Organisation, Rigueur, Réactivité, Travailler en équipe",https://www.dreamjob.ma/emploi/opportunites-industrielles-chez-sanipak-a-berrechid/
"Recrutement APM Terminals, nouvelles opportunités professionnelles à Tanger",Non spécifié,Tanger,Logistique,CDI,Non spécifié,8 ans,"Excel, Lean, SAP",Anglais,"Communication, Leadership, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/recrutement-apm-terminals-nouvelles-opportunites-professionnelles-a-tanger/
SCIF recrute plusieurs postes industriels à Casablanca,SCIF,Casablanca,"Construction, Ferroviaire, Logistique",CDI,Bac+2,2 ans,Non spécifié,Non specifié,"Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/scif-recrute-plusieurs-postes-industriels-a-casablanca/
MADREX Engineering ouvre des stages PFE à Mohammedia,MADREX Engineering,Mohammedia,Non spécifié,Stage,Bac+5,Non spécifié,"CAO, Modélisation",Non specifié,"Autonome, Innovation, Rigueur",https://www.dreamjob.ma/stage/madrex-engineering-ouvre-des-stages-pfe-a-mohammedia/
Stage PFE et emplois à saisir chez SGTM,Non spécifié,Bouskoura,"Btp, Ferroviaire, Logistique",CDI,Bac+2,8 à 10 ans,"Autocad, Excel, SAP",Non specifié,"Communication, Leadership, Organisation, Proactivité, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/stage-pfe-et-emplois-a-saisir-chez-sgtm/
Recrutement en CDI chez DARI COUSPATE à Salé,Non spécifié,Salé,"Agroalimentaire, Énergie",CDI,Non spécifié,4 ans,Non spécifié,Non specifié,"Force de proposition, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/recrutement-en-cdi-chez-dari-couspate-a-sale/
SOMAS recrute 10 Responsables Maintenance à Mohammedia,SOMAS,Mohammedia,Logistique,Non spécifié,Non spécifié,3 à 5 ans,"Automatisme, GMAO","Français, Anglais, Arabe","Gestion de projet, Organisation, Rigueur",https://www.dreamjob.ma/emploi/somas-recrute-10-responsables-maintenance-a-mohammedia/
"Recrutement massif chez Mafoder Group, campagne lancée",Non spécifié,Casablanca,"Automobile, Btp",CDI,Bac+2,2 à 3 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/recrutement-massif-chez-mafoder-group-campagne-lancee/
5 Opportunités CDI à saisir chez International Paper Maroc,Non spécifié,Casablanca,"Construction, Procédés",CDI,Bac+2,2 ans,"ERP, Excel",Anglais,Non spécifié,https://www.dreamjob.ma/emploi/5-opportunites-cdi-a-saisir-chez-international-paper-maroc/
Bontaz recrute 14 stagiaires PFE à El Jadida,Bontaz,El jadida,"Automobile, Logistique",Stage,Bac+5,Non spécifié,Non spécifié,"Français, Anglais","Innovation, Rigueur",https://www.dreamjob.ma/stage/bontaz-recrute-14-stagiaires-pfe-a-el-jadida/
Postes ouverts à Rabat et Marrakech chez la Sorec,Non spécifié,Marrakech,"Construction, Logistique, Énergie",CDI,Bac+3,Non spécifié,Autocad,Non specifié,"Communication, Créativité, Gestion de projet, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/postes-ouverts-a-rabat-et-marrakech-chez-la-sorec/
SIDEN recrute 80 profils industriels à Jorf Lasfar et Témara,SIDEN,Jorf lasfar,"Construction, Procédés",CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Rigueur, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/siden-recrute-80-profils-industriels-a-jorf-lasfar-et-temara/
Plusieurs postes à pourvoir chez DARI COUSPATE,Non spécifié,Salé,"Agroalimentaire, Logistique",CDI,Bac+2,Non spécifié,Non spécifié,Non specifié,Organisation,https://www.dreamjob.ma/emploi/plusieurs-postes-a-pourvoir-chez-dari-couspate/
Lesaffre renforce son équipe technique et recrute à Fés,Lesaffre renforce son équipe technique et,Fès,Agroalimentaire,Non spécifié,Bac+2,7 ans,"Autocad, GMAO, Lean",Non specifié,"Autonomie, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/lesaffre-renforce-son-equipe-technique-et-recrute-a-fes/
Servier Maroc ouvre de nouveaux postes à Casablanca,Servier Maroc,Casablanca,"Chimie, Pharmaceutique",Non spécifié,Bac+3,3 à 7 ans,"AMDEC, Automatisme, Excel, GMAO",Non specifié,"Autonomie, Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/servier-maroc-ouvre-de-nouveaux-postes-a-casablanca/
International Paper recrute à Tanger et Casablanca,International Paper,Casablanca,Non spécifié,Non spécifié,Bac+2,2 ans,"ERP, Excel, Modélisation, Python, SAP, SQL","Français, Anglais","Communication, Rigueur",https://www.dreamjob.ma/emploi/international-paper-recrute-a-tanger-et-casablanca/
SEBN Bouknadel recrute deux experts automobile,SEBN Bouknadel,Non spécifié,Automobile,Non spécifié,Bac+5,10 ans,"5S, APQP, Lean, Lean manufacturing, PPAP, SPC","Français, Anglais","Leadership, Organisation, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/sebn-bouknadel-recrute-deux-experts-automobile/
Offres d’emploi – Proma Industrie secteur automobile,Non spécifié,Kénitra,"Automobile, Chimie, Logistique, Procédés",Non spécifié,Bac+2,Non spécifié,"AMDEC, CATIA, Excel, SAP, SPC",Non specifié,"Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/offres-demploi-proma-industrie-secteur-automobile/
Grande campagne Sorec nouveaux talents recherchés,Non spécifié,Marrakech,"Automobile, Construction, Logistique",CDI,Bac+2,2 à 5 ans,"Autocad, ERP, Excel, Python, SQL",Non specifié,"Communication, Créatif, Créativité, Gestion de projet, Initiative, Leadership, Organisation, Relationnel, Rigueur, Réactivité, Travail en équipe",https://www.dreamjob.ma/emploi/grande-campagne-sorec-nouveaux-talents-recherches/
"Offres d’emploi RATP Dev Casablanca, plusieurs profils recherchés",Non spécifié,Casablanca,Logistique,Non spécifié,Bac+2,Non spécifié,ERP,Anglais,"Autonomie, Initiative, Organisation, Rigueur",https://www.dreamjob.ma/emploi/offres-demploi-ratp-dev-casablanca-plusieurs-profils-recherches/
Rotomoulage du Sud recrute à Casablanca des dessinateurs,Rotomoulage du Sud,Casablanca,Procédés,CDI,Bac+2,Non spécifié,"CATIA, Conception mécanique, NX",Non specifié,Rigueur,https://www.dreamjob.ma/emploi/rotomoulage-du-sud-recrute-a-casablanca-des-dessinateurs/
CAT Engineering recrute à Kénitra – plusieurs postes à saisir,CAT Engineering,Kénitra,"Automobile, Procédés",Non spécifié,Bac+2,Non spécifié,Non spécifié,Non specifié,"Autonomie, Communication, Organisation, Rigueur, Réactivité, Résolution de problèmes",https://www.dreamjob.ma/emploi/cat-engineering-recrute-a-kenitra-plusieurs-postes-a-saisir/
"Opportunités d’emploi à Casablanca, Intersig renforce ses équipes",Non spécifié,Casablanca,"Construction, Procédés",Non spécifié,Bac+2,5 ans,GMAO,Non specifié,"Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/opportunites-demploi-a-casablanca-intersig-renforce-ses-equipes/
"Safran Maroc recrute: plus de 40 postes ouverts à Casablanca, Tiflet et Témara",Safran Maroc,Casablanca,"Aéronautique, Logistique, Procédés",CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,Innovation,https://www.dreamjob.ma/emploi/safran-maroc-recrute-plus-de-40-postes-ouverts-a-casablanca-tiflet-et-temara/
HTL Fitting Morocco recrute en urgence des stagiaires Bac+5,HTL Fitting Morocco,Non spécifié,Automobile,Stage,Bac+5,Non spécifié,Non spécifié,Non specifié,"Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/h-t-l-fitting-morocco-recrute-en-urgence-des-stagiaires-bac5/
"Offre d’emploi Pharma 5, techniciens maintenance utilités recherchés",Non spécifié,Casablanca,Pharmaceutique,Non spécifié,Bac+2,3 ans,Non spécifié,Non specifié,"Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/offre-demploi-pharma-5-techniciens-maintenance-utilites-recherches/
Offres d’emploi SICDA Berrechid – Postulez dès maintenant !,Non spécifié,Berrechid,Chimie,Non spécifié,Bac+2,2 à 4 ans,GMAO,Non specifié,Innovation,https://www.dreamjob.ma/emploi/offres-demploi-sicda-berrechid-postulez-des-maintenant/
"Smeia ouvre plusieurs postes à Casablanca, Marrakech, Rabat et plus !",Smeia,Casablanca,Automobile,Non spécifié,Bac+3,5 ans,ERP,Non specifié,"Gestion de projet, Innovation, Relationnel",https://www.dreamjob.ma/emploi/smeia-ouvre-plusieurs-postes-a-casablanca-marrakech-rabat-et-plus/
Recrutement BTP Maroc 2025 – Eurohinca lance une grande campagne d’embauche,Non spécifié,Casablanca,"Btp, Construction, Logistique",Non spécifié,Bac+3,5 ans,Non spécifié,"Français, Anglais","Autonomie, Leadership, Rigueur",https://www.dreamjob.ma/emploi/recrutement-btp-maroc-2025-eurohinca-lance-une-grande-campagne-dembauche/
SEBN recrute – nouvelles opportunités dans l’automobile à Bouknadel,SEBN,Non spécifié,"Automobile, Procédés",CDI,Bac+5,5 ans,ERP,"Français, Anglais","Communication, Innovation, Leadership, Rigueur",https://www.dreamjob.ma/emploi/sebn-recrute-nouvelles-opportunites-dans-lautomobile-a-bouknadel/
(7) Postes industriels ouverts chez Snop Maroc,Non spécifié,Tanger,Automobile,Stage,Bac+2,2 ans,"AMDEC, Automatisme, Excel, GMAO, SAP",Anglais,"Organisation, Résolution de problèmes",https://www.dreamjob.ma/emploi/7-postes-industriels-ouverts-chez-snop-maroc/
Fujikura Automotive recrute 4 nouveaux profils à Kénitra – Opportunités à saisir dès maintenant,Fujikura Automotive,Kénitra,"Automobile, Procédés",Non spécifié,Bac+2,3 ans,Non spécifié,"Français, Anglais",Non spécifié,https://www.dreamjob.ma/emploi/fujikura-automotive-recrute-4-nouveaux-profils-a-kenitra-opportunites-a-saisir-des-maintenant/
